wort,subset,mean_eva,sd_eva,cases_eva,mean_pot,sd_pot,cases_pot,mean_act,sd_act,cases_act
Arzt,1,5.55,1.821,211,6.235,1.407,221,5.459,1.474,209
Atheist,1,4.882,1.565,211,4.946,1.39,221,4.905,1.334,210
bankrott,1,1.958,1.561,213,4.238,2.658,223,5.425,2.404,212
Befehlshaber,1,3.213,1.78,211,6.752,1.972,222,6.257,1.772,210
bitten,1,5.341,1.756,211,5.462,1.712,221,5.271,1.44,210
Charakter,1,6.502,1.532,213,6.395,1.617,220,5.821,1.587,212
Chefin,1,4.915,1.654,211,6.314,1.6,223,5.713,1.482,209
danken,1,6.976,1.608,211,6.333,1.574,222,5.626,1.647,211
Demokrat,1,5.716,1.602,211,5.653,1.443,222,5.109,1.487,211
Direktor,1,4.634,1.466,213,6.457,1.654,223,5.564,1.624,211
Disziplin,1,5.887,1.671,212,6.552,1.496,221,5.476,1.698,210
Ehefrau,1,6.597,1.816,211,5.959,1.73,219,5.9,1.679,210
Emotion,1,6.289,1.801,211,6.43,1.708,221,6.574,1.893,209
ermahnen,1,3.607,1.324,211,5.484,1.509,221,5.649,1.464,211
Faulenzer,1,3.118,1.688,211,3.186,1.778,221,3.029,2.057,209
gehemmt,1,3.583,1.245,211,3.773,1.67,220,3.781,1.809,210
geizig,1,2.972,1.62,212,4.14,2.021,221,4.774,1.877,212
Gesellschaft,1,5.673,1.538,211,5.701,1.621,221,5.624,1.594,210
Gesetz,1,4.991,1.709,212,6.605,1.861,220,5.118,1.798,212
Gewinner,1,7.085,1.745,212,6.631,1.307,222,6.957,1.651,211
gläubig,1,5.245,1.978,212,5.297,1.862,222,4.586,1.901,210
Gleichheit,1,6.305,1.72,213,5.733,1.56,221,5.043,1.504,210
Hierarchie,1,3.905,1.659,211,5.986,1.723,221,5.048,1.659,210
Hilfskraft,1,4.891,1.58,211,4.204,1.632,221,4.621,1.4,211
Internat,1,4.322,1.618,211,5.252,1.586,222,5.292,1.745,209
verhaften,1,2.649,1.857,211,5.91,2.078,222,6.201,2.019,209
küssen,1,7.682,1.696,211,6.647,1.709,221,7.234,1.834,209
machtlos,1,2.797,1.588,212,3.523,2.263,222,4.319,2.111,210
männlich,1,5.883,1.691,213,5.995,1.63,219,5.791,1.617,211
ohrfeigen,1,2.318,1.383,211,4.706,2.393,221,6.429,1.995,210
Privatschule,1,4.872,1.489,211,5.466,1.512,221,5.014,1.587,211
Psychologe,1,4.777,1.654,211,5.649,1.598,222,4.801,1.759,211
Rechtsanwalt,1,4.81,1.559,211,6.005,1.553,222,5.186,1.549,210
Rente,1,5.455,2.13,211,4.787,1.894,221,4.651,2.009,209
Rockstar,1,5.322,1.792,211,5.716,1.676,222,6.61,1.988,210
scheu,1,4.151,1.439,212,3.636,1.7,220,3.777,1.634,211
Schuld,1,3.019,1.622,213,5.023,2.01,220,5.46,1.797,211
Schurke,1,2.712,1.694,212,4.9,2.093,221,5.995,1.878,211
Schwester,1,6.415,1.959,212,5.459,1.61,222,5.557,1.788,210
selbstsicher,1,6.792,1.61,212,6.659,1.516,220,5.99,1.66,210
sich durchsetzen,1,6.33,1.601,212,6.878,1.442,222,6.589,1.591,209
Stammgast,1,5.887,1.459,212,5.33,1.252,221,5.081,1.527,210
strafen,1,2.821,1.55,212,5.697,2.07,221,5.842,1.784,209
Tagesmutter,1,5.668,1.494,211,5.369,1.372,222,5.19,1.535,210
Test,1,4.938,1.622,211,5.443,1.353,221,5.636,1.65,209
Umarmung,1,7.393,1.724,211,6.543,1.72,221,6.355,1.969,211
Untertan,1,3.09,1.698,211,3.412,1.916,221,4.137,1.709,211
verklagen,1,2.925,1.574,212,5.679,1.807,221,6.043,1.789,210
vermissen,1,3.531,1.986,211,5.36,2.01,222,5.818,1.918,209
verzeihen,1,6.664,1.689,211,6.225,1.828,222,5.275,1.789,211
Abenteuer,2,6.545,1.413,222,6.231,1.392,208,7.423,1.459,222
Aufseher,2,3.575,1.673,221,6.354,1.776,209,5.685,1.637,222
Autonomie,2,5.315,1.495,219,5.779,1.376,208,5.353,1.412,221
befolgen,2,4.814,1.4,220,5.115,1.45,208,4.951,1.48,223
Belohnen,2,7.155,1.332,220,5.986,1.456,208,5.887,1.558,221
beneiden,2,4.077,1.47,221,4.703,1.737,209,5.164,1.582,220
berührt,2,6.382,1.43,220,5.359,1.632,209,5.5,1.703,220
Bewerber,2,5.5,1.16,222,4.812,1.457,208,5.658,1.442,219
Bündnis,2,5.461,1.463,219,5.899,1.619,208,5.182,1.332,220
Demonstrant,2,4.367,1.775,221,5.442,1.614,208,6.656,1.584,221
Designer,2,5.679,1.496,221,5.149,1.536,208,5.641,1.643,223
dominant,2,4.045,1.747,221,6.37,1.765,208,6.225,1.61,222
Dozent,2,5.273,1.242,220,5.703,1.266,209,5.018,1.365,219
Druck,2,3.443,1.722,221,6.014,1.732,208,6.112,1.761,223
Einheit,2,5.878,1.667,221,5.938,1.551,208,5.073,1.353,219
etwas anpassen,2,5.335,1.371,221,5.154,1.392,208,5.1,1.371,220
exotisch,2,6.382,1.449,220,5.505,1.247,208,6.446,1.435,222
freundlich,2,7.768,1.291,220,6.053,1.628,208,5.623,1.627,220
Gangster,2,2.353,1.529,221,5.649,2.313,208,6.703,1.996,222
gedemütigt,2,2.294,1.446,221,3.914,2.193,209,5.081,2.173,221
Gericht,2,3.919,1.61,221,6.644,1.908,208,5.62,1.9,221
Gier,2,2.493,1.485,219,5.388,2.316,209,6.082,1.921,219
Heilpraktikerin,2,5.932,1.541,220,5.197,1.466,208,4.647,1.666,221
Heirat,2,6.622,2,222,5.971,1.697,208,6.486,1.935,222
Hilfe,2,6.65,1.811,220,5.909,1.714,209,5.892,1.542,222
islamisch,2,3.851,1.791,221,5.216,2.04,208,5.369,1.965,222
kleinlaut,2,3.959,1.308,221,3.476,1.468,208,3.882,1.583,220
kompetent,2,6.936,1.393,220,6.282,1.435,209,5.64,1.53,222
Krankenpfleger,2,6.167,1.547,222,5.322,1.399,208,5.104,1.573,222
lässig,2,5.918,1.362,220,4.894,1.39,208,4.741,1.667,220
Macht,2,4.613,1.865,222,7.081,1.805,209,6.443,1.658,221
manipulieren,2,2.814,1.575,221,5.51,2.067,208,5.796,1.839,221
maskulin,2,5.255,1.652,220,5.857,1.417,210,5.691,1.413,220
Minderheit,2,4.403,1.463,221,3.881,1.689,210,4.857,1.485,217
NATO,2,4.727,1.492,220,6.224,1.753,210,5.444,1.752,225
Oma,2,7.359,1.562,220,5.317,1.763,208,4.866,2.02,217
Papst,2,4.452,1.989,219,5.163,2.346,209,3.905,2.026,222
radikal,2,3.155,1.864,220,5.847,2.102,209,6.698,1.745,222
Regierungschef,2,4.063,1.642,221,6.26,2.097,208,5.014,1.957,220
Schüler,2,5.566,1.294,221,4.505,1.461,208,6.094,1.4,223
selbstständig,2,6.579,1.623,221,6.332,1.431,208,6.08,1.522,224
sexy,2,7.014,1.524,221,6.423,1.498,208,7.126,1.531,223
sich auflehnen,2,4.81,1.745,221,5.952,1.56,208,6.486,1.738,222
stehlen,2,2.248,1.358,222,4.154,2.199,208,5.973,2.058,221
stören,2,3.14,1.45,222,5.105,1.931,209,6.258,1.753,221
Streber,2,3.914,1.727,220,4.895,1.766,210,5.045,1.819,222
vorladen,2,3.459,1.488,220,5.534,1.544,208,5.783,1.495,221
Vormund,2,4.176,1.519,222,5.957,1.669,208,5.231,1.292,221
warnen,2,5.187,1.702,219,5.885,1.54,208,6.305,1.509,220
Zeugnis,2,5.265,1.485,219,6.111,1.552,208,6.014,1.567,222
