phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
abartig;-0.540;0.811;0.186;a;
Abenteuer;0.743;0.405;0.031;n;
abenteuerlich;0.543;0.550;0.115;a;
abermals bestens gelungen;0.800;0.000;0.000;a;m
abgedreht;0.000;0.000;0.000;a;m
abgründig;0.750;0.250;0.079;a;
ablehnend gegenüberstehen;0.906;0.195;0.069;a;
absolut;-0.129;0.668;0.014;a;
absolut abfahren;1.000;0.000;0.000;a;
absolut abwechslungsreich;1.000;0.000;0.000;a;
absolut Action;1.000;0.000;0.000;n;
absolut aktuell;1.000;0.000;0.000;a;
absolut Alleskönner;1.000;0.000;0.000;n;
absolut amüsant;0.990;0.069;0.013;a;
absolut Anfänger;0.091;0.701;0.211;n;
absolut angebracht;0.958;0.138;0.040;a;
absolut angemessen;0.933;0.170;0.014;a;
absolut angetan;0.920;0.183;0.039;a;
absolut ans Herz;1.000;0.000;0.000;n;
absolut atemberaubend;0.933;0.170;0.032;a;
absolut Augenschmaus;0.906;0.195;0.044;n;
absolut außergewöhnlich;0.952;0.147;0.036;a;
absolut ausgewogen;0.938;0.165;0.074;a;
absolut ausreichend;0.775;0.295;0.066;a;
absolut auszahlen;0.938;0.165;0.074;a;
absolut authentisch;0.944;0.158;0.013;a;
absolut bedienerfreundlich;1.000;0.000;0.000;a;
absolut beeindruckend;0.921;0.182;0.042;a;
absolut beeindruckt;0.969;0.121;0.019;a;
absolut begeistert;0.993;0.059;0.007;a;
absolut Begeisterung;0.911;0.200;0.032;n;
absolut bemerkenswert;0.965;0.128;0.023;a;
absolut benutzerfreundlich;1.000;0.000;0.000;a;
absolut bequem;0.984;0.087;0.014;a;
absolut berauschend;0.938;0.165;0.074;a;
absolut bereichernd;0.938;0.165;0.074;a;
absolut Bereicherung;0.974;0.110;0.012;n;
absolut berührend;1.000;0.000;0.000;a;
absolut Beschiss;-0.938;0.165;0.074;n;
absolut bestätigt;1.000;0.000;0.000;a;
absolut Beste;0.942;0.167;0.022;n;
absolut besten;1.000;0.000;0.000;a;
absolut Bestnote;0.958;0.138;0.056;n;
absolut bewegend;1.000;0.000;0.000;a;
absolut blasenfrei;0.966;0.125;0.035;a;
absolut Blickfang;0.943;0.167;0.024;n;
absolut Bombe;1.000;0.000;0.000;n;
absolut brauchbar;0.714;0.247;0.066;a;
absolut bruchsicher;1.000;0.000;0.000;a;
absolut charmant;1.000;0.000;0.000;a;
absolut cool;0.998;0.030;0.004;a;
absolut dankbar;0.938;0.165;0.074;a;
absolut Dauerbrenner;1.000;0.000;0.000;n;
absolut dicht;0.943;0.159;0.012;a;
absolut durchdacht;0.965;0.128;0.023;a;
absolut düster;0.000;0.000;0.000;a;m
absolut dynamisch;0.973;0.113;0.043;a;
