Word,Valence_N,Valence_M,Valence_SD,Arousal_N,Arousal_M,Arousal_SD,Concreteness_N,Concreteness_M,Concreteness_SD,Length,Cluster,,,,,,
Abbau,23,2.96,2.03,27,2.48,2.74,19,3.79,2.68,5,1,,,,,,
Abbild,27,5.44,1.69,31,3.65,2.60,18,5.94,3.02,6,1,,,,,,
Abbruch,22,3.09,2.86,27,5.07,2.25,17,4.71,3.24,7,2,,,,,,
Abdruck,21,4.95,1.02,20,2.05,2.26,13,7.00,2.77,7,3,,,,,,
Abend,23,7.17,1.97,16,4.06,3.97,24,7.33,2.87,5,4,,,,,,
Abfall,29,3.03,2.72,26,3.92,2.83,25,7.96,2.07,6,2,,,,,,
Abfluss,27,3.59,1.89,26,2.00,2.77,19,7.16,3.27,7,3,,,,,,
Abgrenzung,22,3.14,2.17,25,4.64,2.90,22,5.14,3.38,10,2,,,,,,
Abgrund,24,2.17,2.20,21,6.95,2.44,14,8.57,2.03,7,2,,,,,,
Abhängigkeit,27,2.04,2.26,16,6.06,2.38,21,3.76,2.32,12,2,,,,,,
Ablagerung,26,3.42,2.48,23,2.30,2.72,20,6.60,2.82,10,1,,,,,,
Ablauf,26,4.88,1.63,25,2.96,2.07,20,4.10,2.40,6,1,,,,,,
Ablehnung,25,2.52,1.56,25,5.24,2.50,22,5.27,3.01,9,2,,,,,,
Ablenkung,23,5.70,1.82,16,3.44,2.48,18,5.89,3.07,9,1,,,,,,
Abrechnung,25,3.80,2.43,28,4.75,2.99,14,6.50,2.71,10,2,,,,,,
Abruf,28,4.07,1.78,20,3.00,2.75,23,4.39,3.13,5,1,,,,,,
Abschaffung,22,4.36,2.52,27,3.07,2.62,28,4.82,3.51,11,1,,,,,,
Abschluss,22,6.86,2.34,19,4.58,3.01,22,5.05,3.30,9,4,,,,,,
Abschnitt,20,4.90,1.29,24,1.58,1.95,19,4.68,2.33,9,1,,,,,,
Absicht,24,4.92,1.38,24,4.25,2.83,26,4.35,2.73,7,1,,,,,,
Absprache,20,5.40,2.06,26,3.42,2.72,14,5.36,3.15,9,1,,,,,,
Abstimmung,24,5.88,1.78,27,3.11,3.09,24,5.96,2.71,10,1,,,,,,
Abteilung,20,4.90,2.02,31,2.71,2.56,14,5.86,2.88,9,1,,,,,,
Abwechslung,34,7.56,1.83,34,5.56,2.40,26,3.88,3.08,11,4,,,,,,
Abweichung,30,4.23,1.68,24,3.04,2.54,23,3.70,2.77,10,1,,,,,,
Abwertung,31,2.32,2.65,27,5.19,3.04,36,4.47,2.59,9,2,,,,,,
Abwesenheit,29,3.72,2.09,20,3.40,2.82,22,3.45,2.06,11,1,,,,,,
Abwicklung,26,3.62,2.19,29,2.48,2.16,18,3.67,2.91,10,1,,,,,,
Abzug,26,3.23,1.77,19,3.53,2.55,15,4.07,2.84,5,1,,,,,,
